design,metric,mean,sd,ci95_low,ci95_high,n_trials
Cube-8,rmse_quv,0.021706455723433837,0.00011965548972439471,0.02162085934252219,0.021792052104345483,10
Cube-8,dop_mae,0.009496604409303508,9.716073958173698e-05,0.009427099803254495,0.009566109015352521,10
Cube-8,median_poincare_angle_deg,1.4057478049863577,0.015444767621453097,1.394699283807239,1.4167963261654763,10
Cube-8,availability,1.0,0.0,1.0,1.0,10
Octa-6,rmse_quv,0.026615303590345973,0.0001653568533396961,0.026497014423359843,0.026733592757332104,10
Octa-6,dop_mae,0.011855947158195445,0.0001301359198155827,0.011762853529240523,0.011949040787150367,10
Octa-6,median_poincare_angle_deg,1.6972404641283325,0.021661823314816562,1.6817445292241622,1.7127363990325029,10
Octa-6,availability,0.79734,0.005564011342747451,0.7933597460610665,0.8013202539389336,10
Proposed-6,rmse_quv,0.03575580297364508,0.0003665013918366226,0.03549362367194689,0.036017982275343266,10
Proposed-6,dop_mae,0.014870263422884977,0.00019942503434423685,0.01472760334734339,0.015012923498426563,10
Proposed-6,median_poincare_angle_deg,1.9391378091039566,0.01281262573225685,1.9299722088027693,1.948303409405144,10
Proposed-6,availability,1.0,0.0,1.0,1.0,10
