design,sigma_analyzer_deg,trial,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
Cube-8,1.0,7,0.02233673846284849,0.019019925192134152,0.036852419762239894,0.009837187984942392,1.5078418840349876,1.0,0.00375,4000
Cube-8,1.0,8,0.02297934936839087,0.019296053794519784,0.03896732075524499,0.009981990449889554,1.5161659108273273,1.0,0.00475,4000
Cube-8,1.0,9,0.023419155515996392,0.0198437738251529,0.03993325152450631,0.010161059872863107,1.5870771643796404,1.0,0.00375,4000
Cube-8,1.0,10,0.022504561869121992,0.019190534695265875,0.03817614048489634,0.009963564360091798,1.4775032279891773,1.0,0.00375,4000
Proposed-6,2.0,1,0.04350421662487867,0.030021927601541376,0.08356295667218742,0.017431737927538236,2.6322891250558973,1.0,0.01,4000
Proposed-6,2.0,2,0.056000434890717286,0.03580037322140127,0.11237473093243945,0.02194699401639352,3.2550736918417504,1.0,0.01575,4000
Proposed-6,2.0,3,0.051349972305897364,0.03282064008942797,0.10228037996465834,0.020001328488179138,2.9886596292188257,1.0,0.01625,4000
Proposed-6,2.0,4,0.03665532796792571,0.02521581549368579,0.07241399873304183,0.015084039150809232,2.005706718823866,1.0,0.007,4000
Proposed-6,2.0,5,0.03951404123783309,0.026757679234583494,0.07907862248216968,0.01627659392973198,2.163309890081693,1.0,0.00825,4000
Proposed-6,2.0,6,0.04044276003586972,0.0283230650542278,0.08014008608108834,0.01645172245077341,2.2939996683003927,1.0,0.01125,4000
Proposed-6,2.0,7,0.039475634171648254,0.02702044803951821,0.07807255727840208,0.016436993549783636,2.2038149477644167,1.0,0.00825,4000
Proposed-6,2.0,8,0.03832890804580367,0.026676892060024042,0.07529743499425302,0.015805142922902606,2.226577459034431,1.0,0.009,4000
Proposed-6,2.0,9,0.04513641753756914,0.02939431736495019,0.09088817544119537,0.01865235649307864,2.4968723918127087,1.0,0.01225,4000
Proposed-6,2.0,10,0.04415283170305067,0.02934066637666253,0.08574979912104375,0.018249459925914025,2.4704902463123504,1.0,0.01025,4000
Cube-8,2.0,1,0.026615784662360767,0.022397408689393654,0.045723369721709574,0.011434789160719635,1.8000229747626895,1.0,0.00725,4000
Cube-8,2.0,2,0.0230454890047375,0.019433262994641383,0.038961345134993074,0.009937994771385548,1.5827763712873726,1.0,0.007,4000
Cube-8,2.0,3,0.022937040658879804,0.01951192240866085,0.03883309051330756,0.009917229485604988,1.500440432548564,1.0,0.004,4000
Cube-8,2.0,4,0.026193789183280556,0.022146364455547837,0.04414366467677214,0.010944279544212548,1.8161575879029908,1.0,0.0055,4000
Cube-8,2.0,5,0.025214723575316008,0.021080306168843044,0.043249628232857225,0.01093788519222865,1.717862038632712,1.0,0.004,4000
Cube-8,2.0,6,0.02428640329770365,0.020481762330434375,0.04104704320048704,0.010600075111961262,1.6318918449445108,1.0,0.00575,4000
Cube-8,2.0,7,0.026541067923580283,0.022118252160308344,0.04512739603598249,0.011762892834062453,1.8040970352282526,1.0,0.00575,4000
Cube-8,2.0,8,0.024894473652605508,0.020909455496501913,0.04279861591784444,0.010584744860265591,1.730774952054851,1.0,0.005,4000
Cube-8,2.0,9,0.028228679817962638,0.023039460510752993,0.04891547916935155,0.012197311719485456,1.9429733844965003,1.0,0.00775,4000
Cube-8,2.0,10,0.033199585023546634,0.025939912514175396,0.06039632726392537,0.013321992906160346,2.402440381082925,1.0,0.00925,4000
