projection,trial,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
False,1,0.03606601497946702,0.02473082183820155,0.07020458523524899,0.015165545573428807,1.9653297572048096,1.0,0.0076,10000
False,2,0.0360699280312017,0.024563162828866624,0.07043612740047193,0.014850454362775843,1.9428716723070338,1.0,0.0066,10000
False,3,0.03624158199202025,0.02461848205269145,0.07175436498588174,0.015005632982579155,1.9526125794154205,1.0,0.0071,10000
False,4,0.03543862333043868,0.024479182506047335,0.069195708699211,0.01487805463409598,1.921719909183644,1.0,0.0077,10000
False,5,0.036056383494429446,0.025116031315818778,0.07070354182751169,0.015198773409514045,1.953063840066437,1.0,0.0077,10000
True,1,0.03589368107699622,0.024675553214692336,0.0700015342717941,0.015012051591067064,1.9653297572048096,1.0,0.0076,10000
True,2,0.035953771624000354,0.024559127589237575,0.0702307099439951,0.014742166052673243,1.9428716723070338,1.0,0.0066,10000
True,3,0.036117699868723166,0.024593451252092568,0.07161360956958455,0.014879675065930659,1.9526125794154205,1.0,0.0071,10000
True,4,0.03533993829951262,0.024413712296056166,0.06883820007644446,0.014753597161526074,1.921719909183644,1.0,0.0077,10000
True,5,0.03582614642899845,0.025078943779744844,0.07007566369777637,0.015006791376168064,1.953063840066437,1.0,0.0077,10000
